country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Kazakhstan,60,60,60,160,350,750,1800,1600,1500,1600,1500,1600,1400,1500,1700,1800,2000,2200,2300,2400,2500,2700
Kenya,120k,170k,240k,280k,280k,250k,210k,170k,150k,140k,140k,140k,130k,130k,130k,120k,120k,130k,120k,120k,110k,100k
Kyrgyz Republic,60,60,60,60,60,60,60,60,60,160,160,350,350,350,750,750,750,1300,1600,2000,2500,3000
Cambodia,9200,11k,13k,13k,12k,11k,10k,9000,8700,7900,7100,6200,5400,4600,3800,3200,2500,2100,1900,1400,1300,1100
South Korea,,,,,,,,,,,,,,,,,,,,,,750
Lao,,,,,,,,,,,,,,,,,,,,,,1200
Lebanon,,,,,,,,,,,,,,,,,,,,,,350
Liberia,,,,,,,,,,,,,,,,,,,,,,750
Sri Lanka,60,160,160,160,160,160,160,350,350,350,350,350,350,350,350,350,350,350,350,350,750,750
Lesotho,3200,6200,12k,21k,32k,42k,46k,43k,36k,30k,27k,26k,26k,27k,28k,29k,29k,29k,29k,28k,27k,26k
Lithuania,60,60,60,60,60,60,60,60,60,120,120,120,120,120,120,120,120,120,120,60,,160
Luxembourg,,,,,,,,,,,,,,,,,,,,,,60
Latvia,120,120,120,300,300,300,300,600,600,600,600,600,1000,1100,1000,600,600,600,600,600,,750
Morocco,,,,,,,,,,,,,,,,,,,,,,4100
Moldova,160,160,350,350,350,750,1700,3700,3000,1600,1100,1100,1200,1300,1400,1500,1600,1600,1700,1700,1800,1900
Maldives,,,,,,,,,,,,,,,,,,,,,,60
Mexico,11k,12k,12k,12k,12k,12k,13k,13k,13k,13k,13k,12k,12k,12k,12k,12k,11k,11k,12k,11k,10k,9900
Mali,11k,12k,13k,13k,14k,14k,14k,14k,14k,13k,13k,12k,12k,12k,12k,11k,11k,10k,9800,9500,9200,8600
Malta,,,,,,,,,,,,,,,,,,,,,,60
Myanmar,14k,13k,13k,16k,17k,19k,23k,25k,30k,32k,31k,28k,26k,24k,21k,18k,16k,14k,12k,11k,9700,8800
Mongolia,,,,,,,,,,,,,,,,,,,,,,350
Mozambique,25k,33k,43k,55k,67k,79k,91k,100k,120k,130k,140k,150k,160k,150k,150k,150k,140k,140k,130k,130k,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,4100
Mauritius,,,,,,,,,,,,,,,,,,,,,,350
Malawi,79k,85k,88k,89k,88k,90k,96k,100k,100k,100k,100k,100k,100k,100k,96k,90k,82k,73k,63k,58k,51k,46k
Malaysia,3100,4800,6500,7600,8100,8000,7400,7000,7100,7400,7700,8100,8400,9200,9600,9600,9800,10k,10k,10k,,
Namibia,3800,5200,7200,9800,13k,17k,21k,23k,24k,24k,24k,23k,20k,17k,15k,14k,12k,11k,11k,10k,10k,8800
Niger,2700,3000,3500,4000,4500,4900,5200,5300,5500,5900,6100,6200,6200,6200,6400,6600,6700,6700,6800,6800,6400,6400
Nigeria,96k,140k,180k,230k,280k,320k,340k,340k,350k,350k,330k,310k,300k,290k,290k,300k,320k,330k,340k,360k,380k,340k
Nicaragua,,,,,,,,,,,,,,,,,,,,,,1200
Netherlands,,,,,,,,,,,,,,,,,,,,,,750
Norway,,,,,,,,,,,,,,,,,,,,,,160
Nepal,350,350,750,1000,1500,2200,3100,4500,6200,8100,9600,10k,10k,9000,7600,6100,4700,3600,2700,2000,1700,1400
New Zealand,,,,,,,,,,,,,,,,,,,,,,160
Pakistan,,,,,,,,,,,,,,,,,,,,,,32k
Panama,300,600,600,2400,9800,8900,2500,1500,1400,1100,1200,1200,1200,1100,1100,1100,1100,1100,1000,1200,,750
Peru,,,,,,,,,,,,,,,,,,,,,,5800
Philippines,60,60,160,160,160,160,350,350,350,350,350,750,750,750,750,1200,1400,1700,2000,2500,3500,5500
Papua New Guinea,1300,1700,2000,2300,2600,2800,2900,3000,3000,3000,3000,2900,2700,2700,2600,2600,2500,2300,2100,2000,1800,1700
Poland,,,,,,,,,,,,,,,,,,,,,,1400
Portugal,,,,,,,,,,,,,,,,,,,,,,1400
Paraguay,,,,,,,,,,,,,,,,,,,,,,1800
Romania,,,,,,,,,,,,,,,,,,,,,,350
Rwanda,21k,24k,25k,24k,22k,20k,21k,21k,21k,22k,21k,19k,18k,18k,18k,17k,14k,14k,14k,13k,12k,10k
Sudan,,,,,,,,,,,,,,,,,,,,,,8600
