country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Dominican Republic,1510,,,,,,,,,,,16k,21k,27k,32k,36k,41k,44k,47k,49k,50k,51k,52k,52k,51k,50k,49k,48k,47k,46k,45k,45k,44k
Ecuador,464,,,,,,,,,,,12k,13k,15k,16k,18k,20k,22k,24k,26k,28k,30k,32k,33k,34k,34k,35k,35k,35k,34k,34k,35k,35k
Egypt,,,,,,,,,,,,600,600,600,1200,1700,2300,3100,4300,5700,7300,8400,9100,9300,9100,8800,8400,8100,8000,8000,8300,8800,9500
Eritrea,,,,,,,153,,,,,2500,3200,4200,6000,8800,12k,16k,18k,20k,21k,22k,23k,24k,24k,24k,24k,24k,24k,24k,23k,23k,23k
Spain,,,2000,,,,,,,,,84k,94k,100k,110k,110k,110k,110k,110k,120k,120k,120k,120k,120k,130k,130k,130k,130k,140k,140k,140k,150k,150k
Estonia,,,,,,,,,,,,60,160,350,350,350,600,600,1400,1900,2700,3600,4700,5700,6700,7500,8100,8600,9000,9300,9500,9700,9900
Ethiopia,,,,,,,,,,,,330k,430k,550k,670k,790k,910k,1M,1.1M,1.2M,1.2M,1.3M,1.3M,1.3M,1.2M,1.2M,1.1M,1.1M,990k,930k,870k,830k,790k
Finland,,,,,287,,,,,,,600,600,600,600,600,1000,1100,1200,1300,1500,1600,1700,1800,2000,2100,2200,2300,2400,2600,2700,2800,2900
Fiji,,,,,,,,,,,,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,160,160,160,160,350,350
France,,,4410,,,,,,,,,100k,98k,97k,96k,96k,96k,98k,100k,110k,110k,120k,120k,120k,130k,130k,130k,140k,140k,150k,150k,160k,160k
Gabon,125,,,,,,,,,,,5500,6900,8700,11k,13k,16k,19k,22k,26k,29k,32k,35k,38k,39k,41k,42k,43k,44k,45k,45k,46k,46k
United Kingdom,,,,,5880,,,,,,,23k,24k,25k,26k,27k,28k,29k,32k,35k,38k,42k,46k,54k,58k,64k,70k,76k,81k,86k,89k,91k,94k
Georgia,,,,,,,,,,,,350,350,350,350,350,350,600,600,600,600,600,1100,1300,1500,1800,2000,2400,2800,3200,3700,4300,4900
