country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"Congo, Rep.",0.56,0.41,0.36,0.35,0.36,0.38,0.4,0.41,0.43,0.43,0.43,0.43,0.41,0.4,0.38,0.34,0.31,0.3,0.3,0.28,,
Colombia,,,,,,,,,,,,,,,,,,,,,,0.06
Costa Rica,,,,,,,,,,,,,,,,,,,,,,0.06
Cuba,,,,,,,,,,,,,,,,,,,,,,0.06
Germany,,,,,,,,,,,,,,,,,,,,,,0.06
Djibouti,0.3,0.35,0.4,0.44,0.45,0.45,0.43,0.39,0.36,0.33,0.3,0.29,0.27,0.26,0.25,0.25,0.24,0.25,0.25,0.25,,
Denmark,,,,,,,,,,,,,,,,,,,,,,0.06
Dominican Republic,0.14,0.15,0.15,0.16,0.16,0.15,0.13,0.12,0.11,0.1,0.1,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Ecuador,,,,,,,,,,,,,,,,,,,,,,0.06
Egypt,,,,,,,,,,,,,,,,,,,,,,0.06
Eritrea,0.13,0.17,0.2,0.22,0.21,0.2,0.18,0.16,0.14,0.12,0.11,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,,0.06
Spain,,,,,,,,,,,,,,,,,,,,,,0.06
Estonia,,,,,,,,,,,,,,,,,,,,,,0.06
Ethiopia,0.36,0.44,0.52,0.55,0.56,0.56,0.54,0.51,0.46,0.41,0.35,0.29,0.22,0.16,0.11,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Finland,,,,,,,,,,,,,,,,,,,,,,0.06
Fiji,,,,,,,,,,,,,,,,,,,,,,0.06
France,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Gabon,0.3,0.36,0.43,0.5,0.57,0.65,0.71,0.76,0.79,0.8,0.78,0.74,0.69,0.63,0.57,0.51,0.46,0.43,0.42,0.4,0.37,0.34
United Kingdom,,,,,,,,,,,,,,,,,,,,,,0.06
Georgia,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Ghana,0.24,0.27,0.28,0.3,0.3,0.3,0.29,0.29,0.28,0.26,0.24,0.24,0.22,0.2,0.17,0.15,0.13,0.12,0.11,0.1,0.06,0.06
Guinea,0.31,0.31,0.29,0.26,0.23,0.2,0.18,0.17,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.12,0.11,0.1,0.1,,0.06
Gambia,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.11,0.13,0.14,0.16,0.18,0.19,0.2,0.2,0.2,0.18,0.17,0.16,0.15,0.15,0.14
Guinea-Bissau,0.06,0.06,0.06,0.11,0.12,0.14,0.16,0.18,0.2,0.22,0.23,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.31,0.31,0.31,0.31
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,0.56
Greece,,,,,,,,,,,,,,,,,,,,,,0.06
Guatemala,,,,,,,,,,,,,,,,,,,,,,0.12
Guyana,,,,,,,,,,,,,,,,,,,,,,0.06
Honduras,,,,,,,,,,,,,,,,,,,,,,0.06
Croatia,,,,,,,,,,,,,,,,,,,,,,0.06
Haiti,0.53,0.48,0.41,0.34,0.29,0.28,0.26,0.27,0.26,0.25,0.23,0.22,0.22,0.2,0.2,0.19,0.17,0.15,0.13,0.12,0.11,0.1
Hungary,,,,,,,,,,,,,,,,,,,,,,0.06
Indonesia,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
India,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,,
Ireland,,,,,,,,,,,,,,,,,,,,,,0.06
Iran,,,,,,,,,,,,,,,,,,,,,,0.06
Iceland,,,,,,,,,,,,,,,,,,,,,,0.06
Israel,,,,,,,,,,,,,,,,,,,,,,0.06
Italy,,,,,,,,,,,,,,,,,,,,,,0.06
Jamaica,0.3,0.36,0.4,0.42,0.42,0.39,0.35,0.31,0.27,0.24,0.22,0.2,0.18,0.2,0.19,0.16,0.16,0.16,0.15,0.14,0.13,0.13
Japan,,,,,,,,,,,,,,,,,,,,,,0.06
Kazakhstan,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Kenya,1.07,1.53,1.99,2.24,2.15,1.8,1.4,1.07,0.84,0.7,0.72,0.66,0.61,0.58,0.55,0.53,0.52,0.53,0.54,0.5,0.47,0.45
Kyrgyz Republic,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1
Cambodia,0.19,0.22,0.24,0.24,0.22,0.19,0.16,0.14,0.12,0.11,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
South Korea,,,,,,,,,,,,,,,,,,,,,,0.06
Lao,,,,,,,,,,,,,,,,,,,,,,0.06
Lebanon,,,,,,,,,,,,,,,,,,,,,,0.06
Liberia,,,,,,,,,,,,,,,,,,,,,,0.06
Sri Lanka,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Lesotho,0.43,0.83,1.53,2.64,4.08,5.39,5.87,5.34,4.33,3.44,2.9,2.67,2.63,2.68,2.77,2.85,2.89,2.88,2.82,2.67,2.58,2.47
Lithuania,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,,0.06
Luxembourg,,,,,,,,,,,,,,,,,,,,,,0.06
Latvia,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,,0.06
Morocco,,,,,,,,,,,,,,,,,,,,,,0.06
Moldova,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.12,0.1,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Maldives,,,,,,,,,,,,,,,,,,,,,,0.06
Mexico,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Mali,0.25,0.26,0.27,0.27,0.27,0.27,0.26,0.25,0.23,0.21,0.19,0.18,0.16,0.16,0.15,0.14,0.14,0.12,0.11,0.11,0.1,0.1
Malta,,,,,,,,,,,,,,,,,,,,,,0.06
Myanmar,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.11,0.12,0.11,0.1,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Mongolia,,,,,,,,,,,,,,,,,,,,,,0.06
Mozambique,0.39,0.51,0.64,0.78,0.93,1.06,1.2,1.34,1.48,1.63,1.74,1.77,1.74,1.65,1.55,1.45,1.36,1.28,1.22,1.19,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,0.2
Mauritius,,,,,,,,,,,,,,,,,,,,,,0.06
Malawi,1.78,1.85,1.86,1.83,1.77,1.76,1.85,1.9,1.88,1.85,1.8,1.74,1.67,1.58,1.42,1.26,1.07,0.89,0.75,0.63,0.55,0.49
Malaysia,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,,
Namibia,0.56,0.74,0.97,1.28,1.64,2.07,2.5,2.71,2.72,2.64,2.53,2.39,1.94,1.56,1.36,1.17,1.01,0.91,0.86,0.84,0.84,0.77
Niger,0.06,0.06,0.06,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.06,0.06,0.06,0.06,0.06
Nigeria,0.21,0.29,0.37,0.46,0.53,0.58,0.6,0.58,0.56,0.53,0.47,0.42,0.4,0.37,0.35,0.35,0.38,0.39,0.39,0.41,0.42,0.36
Nicaragua,,,,,,,,,,,,,,,,,,,,,,0.06
Netherlands,,,,,,,,,,,,,,,,,,,,,,0.06
Norway,,,,,,,,,,,,,,,,,,,,,,0.06
Nepal,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
New Zealand,,,,,,,,,,,,,,,,,,,,,,0.06
Pakistan,,,,,,,,,,,,,,,,,,,,,,0.06
Panama,0.06,0.06,0.11,0.43,0.65,0.38,0.12,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,,0.06
Peru,,,,,,,,,,,,,,,,,,,,,,0.06
Philippines,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Papua New Guinea,0.06,0.06,0.06,0.1,0.1,0.11,0.11,0.11,0.1,0.1,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Poland,,,,,,,,,,,,,,,,,,,,,,0.06
Portugal,,,,,,,,,,,,,,,,,,,,,,0.06
Paraguay,,,,,,,,,,,,,,,,,,,,,,0.06
Romania,,,,,,,,,,,,,,,,,,,,,,0.06
Rwanda,0.55,0.64,0.67,0.64,0.57,0.51,0.52,0.49,0.45,0.42,0.38,0.31,0.29,0.28,0.27,0.25,0.21,0.21,0.21,0.2,0.17,0.15
Sudan,,,,,,,,,,,,,,,,,,,,,,0.06
Senegal,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.06,0.06,0.06,0.06,,0.06
Singapore,,,,,,,,,,,,,,,,,,,,,,0.06
Sierra Leone,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.12,0.14,0.16,0.18,0.2,0.21,0.22,0.22,0.22,0.21,0.18,0.15,0.13,0.13,0.12
El Salvador,,,,,,,,,,,,,,,,,,,,,,0.06
Somalia,,,,,,,,,,,,,,,,,,,,,,0.06
Serbia,,,,,,,,,,,,,,,,,,,,,,0.06
South Sudan,,,,,,,,,,,,,,,,,,,,,,0.33
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,0.06
Suriname,0.52,0.56,0.57,0.55,0.51,0.45,0.38,0.32,0.26,0.2,0.15,0.11,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,0.06
Slovenia,,,,,,,,,,,,,,,,,,,,,,0.06
Sweden,,,,,,,,,,,,,,,,,,,,,,0.06
Eswatini,1.03,1.33,1.68,2.08,2.52,3.01,3.51,3.87,4.06,4.17,4.18,4.11,3.97,3.88,3.75,3.5,3.3,3.16,3.05,2.9,2.79,2.6
Togo,0.27,0.37,0.47,0.55,0.6,0.61,0.58,0.54,0.49,0.44,0.4,0.37,0.35,0.33,0.31,0.3,0.3,0.29,0.28,0.27,,
Thailand,0.49,0.49,0.4,0.29,0.2,0.15,0.12,0.1,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Tajikistan,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Trinidad and Tobago,0.06,0.11,0.13,0.15,0.17,0.18,0.19,0.19,0.19,0.18,0.16,0.15,0.14,0.13,0.13,0.12,0.11,0.11,0.12,0.11,0.1,0.06
Tunisia,,,,,,,,,,,,,,,,,,,,,,0.06
Turkey,,,,,,,,,,,,,,,,,,,,,,0.06
Tanzania,1.41,1.48,1.47,1.37,1.22,1.06,0.92,0.81,0.73,0.67,0.64,0.62,0.61,0.6,0.6,0.6,0.6,0.59,0.58,0.6,0.59,0.59
Uganda,1.34,1.19,1.04,0.91,0.79,0.7,0.64,0.62,0.62,0.63,0.66,0.69,0.72,0.78,0.81,0.82,0.83,0.87,0.89,0.9,0.88,0.84
Ukraine,,,,,,,,,,,,,,,,,,,,,,0.06
Uruguay,,,,,,,,,,,,,,,,,,,,,,0.06
United States,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Venezuela,,,,,,,,,,,,,,,,,,,,,,0.06
Vietnam,,,,,,,,,,,,,,,,,,,,,,0.06
Yemen,,,,,,,,,,,,,,,,,,,,,,0.06
South Africa,0.22,0.35,0.57,0.89,1.34,1.9,2.47,2.9,3.07,2.97,2.72,2.42,2.16,1.96,1.83,1.75,1.7,1.66,1.63,1.55,1.5,1.43
Zambia,2.27,2.2,2.11,2,1.89,1.81,1.76,1.73,1.71,1.71,1.71,1.72,1.72,1.71,1.63,1.51,1.36,1.19,1.14,1.17,,
Zimbabwe,3.78,4.03,4.37,4.95,5.27,4.98,4.73,4.41,3.95,3.32,2.6,2.11,1.87,1.6,1.5,1.48,1.43,1.44,1.44,1.36,1.25,1.05
