"numero_visite","menage_id","enerc_kcal_s","sec_s","eau_s","graisse_s"
1,348,2268.14079453468,547.531612569165,4219.32568590932,78.4042386367321
1,354,2774.77034039328,599.613786386773,2375.85107768841,114.825897139698
1,53,3103.50377095193,646.026260106593,2808.47208666918,126.98952657029
1,18,2802.36072476745,619.924536021447,3457.16717693021,87.3696898416281
1,211,1297.53827327907,268.801329867661,2584.42716590899,47.7691075977683
1,130,1633.92462498546,396.920193319678,3062.2623556205,56.2907048480511
1,139,1914.47357658629,406.948090773083,2480.25046668573,76.7368347689882
1,159,1622.96223920445,425.391254999705,2252.92754962944,16.1036240426153
1,212,2817.13285021186,617.649715521836,3071.42732741544,86.9884554068327
1,147,1043.83866884898,265.922224454347,1563.7746404449,10.4237120838128
1,141,1119.47387916553,254.94921201086,2598.72310856366,28.8823596820235
1,164,1236.83125517376,288.10063833531,2053.28421762798,33.6073228956834
1,148,1522.75904194465,335.613694719389,1800.70328361599,46.7504123729616
1,52,1286.54300435662,292.716929733157,1610.18011671364,30.33958261621
1,161,916.27908454749,221.876040168241,2039.61102569835,47.217922329694
1,35,1287.98133428401,321.456449406266,1486.83126815963,14.2265613819063
1,204,3116.70566967249,508.3949325189,3435.3367065385,160.514221959114
1,363,1993.30585939395,409.714819745839,3148.07046292561,110.919800292671
1,158,1574.16243412018,363.285134805298,2524.9021406044,35.3792980771065
1,234,1553.59913943851,352.258051149905,2446.60961646551,33.3396928256154
1,124,2002.31017978072,441.358798564315,3015.58705931818,64.2984351557493
1,150,2066.94621023089,432.834283034802,2246.52425164402,86.8142305609286
1,222,1428.15584671766,362.059835486978,2354.08657465044,16.6805566450655
1,100,534.671407547981,129.381617981374,1145.26324505788,9.210319321841
1,137,800.236352306187,166.815763152212,1866.51117038074,11.0758838147223
1,338,688.310834960938,171.377356082916,1124.02473208237,7.86966304779053
1,220,3057.72615485549,601.153040728808,2114.68627975202,147.501188016295
1,65,958.066214073449,242.244048608944,1754.63533923168,4.794992797032
1,149,1624.32447449648,358.883903607881,1599.7130183725,40.823609959662
1,119,1497.01549087226,407.466228395045,3265.8600442118,20.202523837626
1,73,1950.82435142457,368.328613420188,1647.40358168894,108.351710278809
1,353,2059.56932323374,436.952044288449,2723.47682006396,91.4955109565109
