country,year,new_cases,population
Uganda,2002,100000,25943441
Uganda,2003,110000,26838428
Uganda,2004,120000,27766986
Uganda,2005,120000,28724869
Uganda,2006,130000,29711397
Uganda,2007,140000,30728747
Uganda,2008,150000,31778799
Uganda,2009,150000,32864328
United States,1995,51000,268039654
United States,1996,66000,271231546
United States,1997,68000,274606475
United States,1998,67000,278053607
United States,1999,60000,281419130
United States,2000,52000,284594395
United States,2001,48000,287532638
United States,2002,48000,290270187
United States,2003,49000,292883010
United States,2004,49000,295487267
United States,2005,49000,298165797
United States,2006,49000,300942917
United States,2007,49000,303786752
United States,2008,49000,306657153
United States,2009,49000,309491893
South Africa,1995,430000,41426810
South Africa,1996,570000,42204043
South Africa,1997,680000,42906581
South Africa,1998,720000,43558285
South Africa,1999,710000,44195890
South Africa,2000,660000,44846286
South Africa,2001,610000,45513217
South Africa,2002,560000,46187794
South Africa,2003,520000,46869028
South Africa,2004,500000,47553025
South Africa,2005,480000,48235291
South Africa,2006,470000,48919359
South Africa,2007,460000,49602778
South Africa,2008,450000,50267488
South Africa,2009,430000,50889543
Zambia,1995,84000,8841338
Zambia,1996,84000,9073311
Zambia,1997,85000,9320089
Zambia,1998,86000,9577483
Zambia,1999,88000,9839179
Zambia,2000,90000,10100981
Zambia,2001,92000,10362137
Zambia,2002,94000,10625423
Zambia,2003,96000,10894519
Zambia,2004,96000,11174650
Zambia,2005,93000,11470022
Zambia,2006,88000,11781612
Zambia,2007,81000,12109620
Zambia,2008,72000,12456527
Zambia,2009,76000,12825031
Zimbabwe,1995,250000,11639364
Zimbabwe,1996,240000,11846110
Zimbabwe,1997,230000,12045813
Zimbabwe,1998,220000,12229500
Zimbabwe,1999,190000,12384727
Zimbabwe,2000,160000,12503652
Zimbabwe,2001,140000,12586763
Zimbabwe,2002,130000,12640922
Zimbabwe,2003,110000,12673103
Zimbabwe,2004,110000,12693047
Zimbabwe,2005,110000,12710589
Zimbabwe,2006,100000,12724308
Zimbabwe,2007,100000,12740160
Zimbabwe,2008,100000,12784041
Zimbabwe,2009,95000,12888918
