country,year,total_cases,population
Paraguay,2003,5200,5682350
Paraguay,2004,5700,5793330
Paraguay,2005,6200,5904170
Paraguay,2006,6900,6014781
Paraguay,2007,7700,6125285
Paraguay,2008,8700,6236005
Paraguay,2009,9800,6347383
Romania,1995,9100,22963512
Romania,1996,11000,22841943
Romania,1997,12000,22717415
Romania,1998,13000,22596183
Romania,1999,14000,22484940
Romania,2000,15000,22388354
Romania,2001,16000,22310092
Romania,2002,16000,22249564
Romania,2003,16000,22201592
Romania,2004,17000,22158163
Romania,2005,17000,22113264
Romania,2006,17000,22065409
Romania,2007,17000,22015937
Romania,2008,16000,21964962
Romania,2009,16000,21913311
Rwanda,1995,200000,5663838
Rwanda,1996,200000,5929575
Rwanda,1997,210000,6470628
Rwanda,1998,220000,7169658
Rwanda,1999,220000,7853015
Rwanda,2000,230000,8395577
Rwanda,2001,220000,8760003
Rwanda,2002,220000,8987523
Rwanda,2003,210000,9126167
Rwanda,2004,210000,9254379
Rwanda,2005,200000,9429457
Rwanda,2006,200000,9660946
Rwanda,2007,200000,9928143
Rwanda,2008,200000,10222961
Rwanda,2009,200000,10529668
Sudan,1995,60000,29963988
Sudan,1996,66000,30824141
Sudan,1997,70000,31682982
Sudan,1998,72000,32551853
Sudan,1999,72000,33447666
Sudan,2000,70000,34382782
Sudan,2001,69000,35359265
Sudan,2002,67000,36373247
Sudan,2003,65000,37423884
Sudan,2004,63000,38508752
Sudan,2005,62000,39625222
Sudan,2006,62000,40774428
Sudan,2007,62000,41954986
Sudan,2008,63000,43158451
Sudan,2009,65000,44373749
Senegal,1995,11000,8711528
Senegal,1996,12000,8940298
Senegal,1997,14000,9164050
Senegal,1998,16000,9387783
Senegal,1999,19000,9618564
Senegal,2000,21000,9861679
Senegal,2001,24000,10119118
Senegal,2002,27000,10390050
Senegal,2003,30000,10673535
Senegal,2004,32000,10967568
Senegal,2005,35000,11270826
Senegal,2006,38000,11582925
Senegal,2007,41000,11904974
Senegal,2008,43000,12238791
Senegal,2009,46000,12586827
Singapore,1995,2000,3482640
Singapore,1996,2200,3570085
Singapore,1997,2400,3653156
Singapore,1998,2500,3735537
Singapore,1999,2600,3822625
Singapore,2000,2600,3918189
Singapore,2001,2700,4023284
Singapore,2002,2700,4136239
Singapore,2003,2700,4254766
Singapore,2004,2700,4375413
Singapore,2005,2800,4495537
Singapore,2006,2900,4614310
Singapore,2007,3000,4732065
Singapore,2008,3200,4848676
Singapore,2009,3300,4964312
Sierra Leone,1995,5000,3927105
Sierra Leone,1996,6800,3919708
Sierra Leone,1997,8900,3928313
Sierra Leone,1998,11000,3961869
Sierra Leone,1999,14000,4030443
Sierra Leone,2000,18000,4139757
Sierra Leone,2001,21000,4295667
Sierra Leone,2002,25000,4493047
Sierra Leone,2003,30000,4712763
Sierra Leone,2004,34000,4928175
Sierra Leone,2005,38000,5119895
Sierra Leone,2006,41000,5280909
Sierra Leone,2007,44000,5416015
Sierra Leone,2008,45000,5532139
Sierra Leone,2009,47000,5641182
El Salvador,1995,7500,5748013
El Salvador,1996,8300,5806750
El Salvador,1997,9000,5855226
El Salvador,1998,9700,5895018
El Salvador,1999,10000,5928809
El Salvador,2000,11000,5958794
El Salvador,2001,12000,5985299
El Salvador,2002,12000,6008308
El Salvador,2003,13000,6029366
El Salvador,2004,14000,6050297
El Salvador,2005,15000,6072538
El Salvador,2006,16000,6096692
El Salvador,2007,18000,6122952
El Salvador,2008,19000,6151776
El Salvador,2009,21000,6183484
Somalia,1995,28000,6346440
Somalia,1996,30000,6481035
Somalia,1997,31000,6673254
Somalia,1998,32000,6904978
Somalia,1999,33000,7149044
Somalia,2000,34000,7385416
Somalia,2001,34000,7609265
Somalia,2002,35000,7825924
Somalia,2003,35000,8037706
Somalia,2004,35000,8249965
Somalia,2005,35000,8466938
Somalia,2006,35000,8687671
Somalia,2007,35000,8910851
Somalia,2008,35000,9140259
Somalia,2009,35000,9380854
Serbia,1995,4300,10989446
Serbia,1996,4000,11028631
Serbia,1997,3700,11025594
Serbia,1998,3500,10990409
Serbia,1999,3300,10939047
Serbia,2000,3200,10883641
Serbia,2001,3100,10826817
Serbia,2002,3000,10766194
Serbia,2003,2900,10703165
Serbia,2004,2900,10638276
Serbia,2005,2900,9956359
Serbia,2006,3000,9889237
Serbia,2007,3100,9823743
Serbia,2008,3200,9760977
Serbia,2009,3400,9701912
Sao Tome and Principe,1995,350,130378
Sao Tome and Principe,1996,350,132323
Sao Tome and Principe,1997,350,134029
Sao Tome and Principe,1998,350,135650
Sao Tome and Principe,1999,600,137396
Sao Tome and Principe,2000,600,139428
Sao Tome and Principe,2001,600,141783
Sao Tome and Principe,2002,600,144447
Sao Tome and Principe,2003,600,147455
Sao Tome and Principe,2004,1000,150842
Sao Tome and Principe,2005,1000,154615
Sao Tome and Principe,2006,1000,158806
Sao Tome and Principe,2007,1000,163390
Sao Tome and Principe,2008,1000,168253
Sao Tome and Principe,2009,1000,173240
Suriname,1995,8200,435776
Suriname,1996,8600,441734
Suriname,1997,8800,447771
Suriname,1998,8800,453920
Suriname,1999,8700,460215
Suriname,2000,8400,466668
Suriname,2001,7900,473312
Suriname,2002,7400,480099
Suriname,2003,6800,486867
Suriname,2004,6300,493394
Suriname,2005,5800,499523
Suriname,2006,5300,505186
Suriname,2007,4800,510433
Suriname,2008,4400,515372
Suriname,2009,4000,520173
Slovak Republic,1995,60,5362950
Slovak Republic,1996,60,5372351
Slovak Republic,1997,60,5379101
Slovak Republic,1998,160,5383590
Slovak Republic,1999,160,5386384
Slovak Republic,2000,160,5388010
Slovak Republic,2001,160,5388448
Slovak Republic,2002,160,5387913
Slovak Republic,2003,160,5387441
Slovak Republic,2004,350,5388338
Slovak Republic,2005,350,5391489
Slovak Republic,2006,350,5397396
Slovak Republic,2007,350,5405718
Slovak Republic,2008,350,5415434
Slovak Republic,2009,350,5425044
Slovenia,1995,60,1991848
Slovenia,1996,160,1989709
Slovenia,1997,160,1988790
Slovenia,1998,160,1988806
Slovenia,1999,160,1989178
Slovenia,2000,350,1989545
Slovenia,2001,350,1989732
Slovenia,2002,350,1990090
Slovenia,2003,350,1991368
Slovenia,2004,350,1994578
Slovenia,2005,350,2000349
Slovenia,2006,350,2009036
Slovenia,2007,350,2020156
Slovenia,2008,350,2032470
Slovenia,2009,600,2044248
Sweden,1995,5600,8826720
Sweden,1996,5900,8849420
Sweden,1997,6100,8859106
Sweden,1998,6300,8861204
Sweden,1999,6500,8863595
Sweden,2000,6700,8872284
Sweden,2001,6900,8888444
Sweden,2002,7200,8911156
Sweden,2003,7400,8941754
Sweden,2004,7600,8981282
Sweden,2005,7800,9030163
Sweden,2006,8000,9089677
Sweden,2007,8200,9159155
Sweden,2008,8400,9234561
Sweden,2009,8600,9310295
Eswatini,1995,49000,963428
Eswatini,1996,61000,984506
Eswatini,1997,75000,1006760
Eswatini,1998,88000,1028694
Eswatini,1999,100000,1048151
Eswatini,2000,110000,1063715
Eswatini,2001,120000,1074761
Eswatini,2002,130000,1082183
Eswatini,2003,140000,1087929
Eswatini,2004,150000,1094758
Eswatini,2005,160000,1104642
Eswatini,2006,160000,1118253
Eswatini,2007,170000,1134977
Eswatini,2008,170000,1153929
Eswatini,2009,180000,1173678
Chad,1995,130000,6980351
Chad,1996,140000,7216321
Chad,1997,140000,7463347
Chad,1998,150000,7724316
Chad,1999,160000,8002899
Chad,2000,170000,8301151
Chad,2001,170000,8620917
Chad,2002,180000,8959964
Chad,2003,180000,9311234
Chad,2004,190000,9665024
Chad,2005,190000,10014413
Chad,2006,190000,10356822
Chad,2007,200000,10694366
Chad,2008,200000,11030628
Chad,2009,200000,11371325
Togo,1995,68000,4284497
Togo,1996,77000,4392177
Togo,1997,87000,4504291
Togo,1998,97000,4620710
Togo,1999,110000,4740974
Togo,2000,120000,4864753
Togo,2001,120000,4992225
Togo,2002,130000,5123674
Togo,2003,140000,5258956
Togo,2004,140000,5397851
Togo,2005,140000,5540214
Togo,2006,150000,5685845
Togo,2007,150000,5834806
Togo,2008,150000,5987491
Togo,2009,150000,6144457
Thailand,1995,700000,58983954
Thailand,1996,710000,59562136
Thailand,1997,710000,60206941
Thailand,1998,690000,60903042
Thailand,1999,680000,61623143
Thailand,2000,650000,62343379
Thailand,2001,630000,63069070
Thailand,2002,610000,63797841
Thailand,2003,590000,64488338
Thailand,2004,570000,65087400
Thailand,2005,560000,65559487
Thailand,2006,550000,65883961
Thailand,2007,540000,66076927
Thailand,2008,530000,66185340
Thailand,2009,520000,66277335
Tajikistan,1995,1600,5784330
Tajikistan,1996,2100,5862347
Tajikistan,1997,2700,5937177
Tajikistan,1998,3400,6012933
Tajikistan,1999,4100,6094661
Tajikistan,2000,4800,6186152
Tajikistan,2001,5400,6289340
Tajikistan,2002,6000,6404118
Tajikistan,2003,6500,6529609
Tajikistan,2004,7000,6663929
Tajikistan,2005,7400,6805655
Tajikistan,2006,7800,6954522
Tajikistan,2007,8200,7111025
Tajikistan,2008,8700,7275252
Tajikistan,2009,9200,7447396
Trinidad and Tobago,1995,6000,1255001
Trinidad and Tobago,1996,7100,1258365
Trinidad and Tobago,1997,8100,1260677
Trinidad and Tobago,1998,9100,1262544
Trinidad and Tobago,1999,9900,1264781
Trinidad and Tobago,2000,11000,1267980
Trinidad and Tobago,2001,11000,1272347
Trinidad and Tobago,2002,11000,1277723
Trinidad and Tobago,2003,12000,1283868
Trinidad and Tobago,2004,12000,1290379
Trinidad and Tobago,2005,12000,1296933
Trinidad and Tobago,2006,13000,1303478
Trinidad and Tobago,2007,13000,1310040
Trinidad and Tobago,2008,13000,1316449
Trinidad and Tobago,2009,13000,1322518
Tunisia,1995,350,8982649
Tunisia,1996,350,9116617
Tunisia,1997,350,9237249
Tunisia,1998,350,9347451
Tunisia,1999,350,9451481
Tunisia,2000,600,9552776
Tunisia,2001,600,9652120
Tunisia,2002,600,9749636
Tunisia,2003,600,9847323
Tunisia,2004,600,9947369
Tunisia,2005,600,10051352
Tunisia,2006,1000,10160243
Tunisia,2007,1100,10273932
Tunisia,2008,1300,10391460
Tunisia,2009,1400,10511204
Turkey,1995,600,58522320
Turkey,1996,600,59442502
Turkey,1997,600,60372413
Turkey,1998,1100,61308204
Turkey,1999,1300,62243779
Turkey,2000,1500,63174483
Turkey,2001,1800,64100297
Turkey,2002,2100,65022300
Turkey,2003,2400,65938265
Turkey,2004,2700,66845635
Turkey,2005,3100,67743052
Turkey,2006,3400,68626337
Turkey,2007,3800,69496513
Turkey,2008,4200,70363511
Turkey,2009,4600,71241080
Tanzania,1995,1300000,29944302
Tanzania,1996,1400000,30780453
Tanzania,1997,1400000,31586039
Tanzania,1998,1400000,32378333
Tanzania,1999,1500000,33183093
Tanzania,2000,1500000,34020512
Tanzania,2001,1400000,34895398
Tanzania,2002,1400000,35806497
Tanzania,2003,1400000,36760831
Tanzania,2004,1400000,37765139
Tanzania,2005,1400000,38824384
Tanzania,2006,1400000,39942347
Tanzania,2007,1400000,41119693
Tanzania,2008,1400000,42353790
Tanzania,2009,1500000,43639752
Uganda,1995,1200000,20740726
Uganda,1996,1100000,21407693
Uganda,1997,1100000,22084527
Uganda,1998,1100000,22780451
Uganda,1999,1000000,23507800
Uganda,2000,1000000,24275641
Uganda,2001,990000,25088033
Uganda,2002,980000,25943441
Uganda,2003,990000,26838428
Uganda,2004,1000000,27766986
Uganda,2005,1000000,28724869
Uganda,2006,1100000,29711397
Uganda,2007,1100000,30728747
Uganda,2008,1200000,31778799
Uganda,2009,1300000,32864328
Ukraine,1995,34000,51146967
Ukraine,1996,63000,50821019
Ukraine,1997,110000,50421998
Ukraine,1998,160000,49974187
Ukraine,1999,200000,49510626
Ukraine,2000,230000,49057226
Ukraine,2001,250000,48620596
Ukraine,2002,260000,48200504
Ukraine,2003,280000,47807199
Ukraine,2004,290000,47450472
Ukraine,2005,300000,47135932
Ukraine,2006,310000,46871328
Ukraine,2007,320000,46653183
Ukraine,2008,300000,46461350
Ukraine,2009,280000,46267306
Uruguay,1995,6300,3224383
Uruguay,1996,7400,3247585
Uruguay,1997,8500,3270549
Uruguay,1998,9400,3291677
Uruguay,1999,10000,3308884
Uruguay,2000,11000,3320841
Uruguay,2001,11000,3326762
Uruguay,2002,11000,3327500
Uruguay,2003,11000,3325411
Uruguay,2004,12000,3323822
Uruguay,2005,12000,3325155
Uruguay,2006,12000,3330217
Uruguay,2007,12000,3338384
Uruguay,2008,12000,3348898
Uruguay,2009,12000,3360431
United States,1995,830000,268039654
United States,1996,840000,271231546
United States,1997,870000,274606475
United States,1998,910000,278053607
United States,1999,950000,281419130
United States,2000,980000,284594395
United States,2001,1000000,287532638
United States,2002,1000000,290270187
United States,2003,1100000,292883010
United States,2004,1100000,295487267
United States,2005,1100000,298165797
United States,2006,1200000,300942917
United States,2007,1200000,303786752
United States,2008,1200000,306657153
United States,2009,1300000,309491893
Venezuela,1995,37000,22092144
Venezuela,1996,41000,22556838
Venezuela,1997,44000,23020184
Venezuela,1998,48000,23482700
Venezuela,1999,51000,23945002
Venezuela,2000,54000,24407553
Venezuela,2001,58000,24870441
Venezuela,2002,61000,25333622
Venezuela,2003,65000,25797219
Venezuela,2004,69000,26261326
Venezuela,2005,74000,26725897
Venezuela,2006,78000,27190882
Venezuela,2007,82000,27655937
Venezuela,2008,86000,28120312
Venezuela,2009,91000,28583040
Vietnam,1995,3500,76020043
Vietnam,1996,6900,77166873
Vietnam,1997,13000,78199254
Vietnam,1998,30000,79140734
Vietnam,1999,58000,80027521
Vietnam,2000,84000,80887879
Vietnam,2001,110000,81728768
Vietnam,2002,130000,82547682
Vietnam,2003,160000,83352595
Vietnam,2004,180000,84150651
Vietnam,2005,190000,84947852
Vietnam,2006,210000,85747625
Vietnam,2007,220000,86553201
Vietnam,2008,230000,87369203
Vietnam,2009,230000,88199997
Yemen,1995,2100,15018201
Yemen,1996,2800,15578640
Yemen,1997,3700,16088019
Yemen,1998,4900,16564235
Yemen,1999,6500,17035531
Yemen,2000,8500,17522537
Yemen,2001,10000,18029989
Yemen,2002,12000,18551068
Yemen,2003,14000,19081306
Yemen,2004,15000,19612696
Yemen,2005,16000,20139661
Yemen,2006,17000,20661714
Yemen,2007,18000,21182162
Yemen,2008,19000,21703571
Yemen,2009,20000,22229625
South Africa,1995,1200000,41426810
South Africa,1996,1700000,42204043
South Africa,1997,2300000,42906581
South Africa,1998,2900000,43558285
South Africa,1999,3500000,44195890
South Africa,2000,4000000,44846286
South Africa,2001,4400000,45513217
South Africa,2002,4700000,46187794
South Africa,2003,4900000,46869028
South Africa,2004,5000000,47553025
South Africa,2005,5200000,48235291
South Africa,2006,5200000,48919359
South Africa,2007,5300000,49602778
South Africa,2008,5400000,50267488
South Africa,2009,5400000,50889543
Zambia,1995,730000,8841338
Zambia,1996,750000,9073311
Zambia,1997,770000,9320089
Zambia,1998,790000,9577483
Zambia,1999,820000,9839179
Zambia,2000,840000,10100981
Zambia,2001,860000,10362137
Zambia,2002,880000,10625423
Zambia,2003,900000,10894519
Zambia,2004,910000,11174650
Zambia,2005,920000,11470022
Zambia,2006,920000,11781612
Zambia,2007,930000,12109620
Zambia,2008,940000,12456527
Zambia,2009,950000,12825031
Zimbabwe,1995,1600000,11639364
Zimbabwe,1996,1700000,11846110
Zimbabwe,1997,1800000,12045813
Zimbabwe,1998,1900000,12229500
Zimbabwe,1999,1900000,12384727
Zimbabwe,2000,1900000,12503652
Zimbabwe,2001,1800000,12586763
Zimbabwe,2002,1700000,12640922
Zimbabwe,2003,1700000,12673103
Zimbabwe,2004,1600000,12693047
Zimbabwe,2005,1500000,12710589
Zimbabwe,2006,1400000,12724308
Zimbabwe,2007,1300000,12740160
Zimbabwe,2008,1300000,12784041
Zimbabwe,2009,1200000,12888918
