year,week,region,cases
1995,29,Agadez,0
1995,29,Diffa,19
1995,29,Dosso,62
1995,29,Maradi,69
1995,29,Niamey,7
1995,29,Tahoua,169
1995,29,Tillaberi,237
1995,29,Zinder,3
1995,30,Agadez,2
1995,30,Diffa,21
1995,30,Dosso,116
1995,30,Maradi,133
1995,30,Niamey,9
1995,30,Tahoua,108
1995,30,Tillaberi,336
1995,30,Zinder,8
1995,31,Agadez,2
1995,31,Diffa,19
1995,31,Dosso,54
1995,31,Maradi,80
1995,31,Niamey,0
1995,31,Tahoua,103
1995,31,Tillaberi,192
1995,31,Zinder,7
1995,32,Agadez,0
1995,32,Diffa,17
1995,32,Dosso,30
1995,32,Maradi,59
1995,32,Niamey,0
1995,32,Tahoua,74
1995,32,Tillaberi,164
1995,32,Zinder,3
1995,33,Agadez,2
1995,33,Diffa,5
1995,33,Dosso,42
1995,33,Maradi,68
1995,33,Niamey,1
1995,33,Tahoua,94
1995,33,Tillaberi,191
1995,33,Zinder,4
1995,34,Agadez,7
1995,34,Diffa,4
1995,34,Dosso,49
1995,34,Maradi,23
1995,34,Niamey,1
1995,34,Tahoua,83
1995,34,Tillaberi,118
1995,34,Zinder,1
1995,35,Agadez,5
1995,35,Diffa,13
1995,35,Dosso,52
1995,35,Maradi,37
1995,35,Niamey,0
1995,35,Tahoua,59
1995,35,Tillaberi,135
1995,35,Zinder,1
1995,36,Agadez,2
1995,36,Diffa,12
1995,36,Dosso,30
1995,36,Maradi,22
1995,36,Niamey,1
1995,36,Tahoua,33
1995,36,Tillaberi,157
1995,36,Zinder,0
1995,37,Agadez,21
1995,37,Diffa,4
1995,37,Dosso,39
1995,37,Maradi,21
1995,37,Niamey,0
1995,37,Tahoua,52
1995,37,Tillaberi,118
1995,37,Zinder,0
1995,38,Agadez,13
1995,38,Diffa,11
1995,38,Dosso,72
1995,38,Maradi,27
1995,38,Niamey,0
1995,38,Tahoua,50
1995,38,Tillaberi,58
1995,38,Zinder,0
1995,39,Agadez,19
1995,39,Diffa,4
1995,39,Dosso,22
1995,39,Maradi,9
1995,39,Niamey,1
1995,39,Tahoua,81
1995,39,Tillaberi,47
1995,39,Zinder,0
1995,40,Agadez,25
1995,40,Diffa,14
1995,40,Dosso,35
1995,40,Maradi,11
1995,40,Niamey,0
1995,40,Tahoua,49
1995,40,Tillaberi,58
1995,40,Zinder,4
1995,41,Agadez,13
1995,41,Diffa,26
1995,41,Dosso,22
1995,41,Maradi,7
1995,41,Niamey,0
1995,41,Tahoua,58
1995,41,Tillaberi,52
1995,41,Zinder,5
1995,42,Agadez,8
1995,42,Diffa,15
1995,42,Dosso,32
1995,42,Maradi,50
1995,42,Niamey,0
1995,42,Tahoua,31
1995,42,Tillaberi,52
1995,42,Zinder,3
1995,43,Agadez,5
1995,43,Diffa,17
1995,43,Dosso,40
1995,43,Maradi,27
1995,43,Niamey,0
1995,43,Tahoua,53
1995,43,Tillaberi,103
1995,43,Zinder,5
1995,44,Agadez,62
1995,44,Diffa,14
1995,44,Dosso,17
1995,44,Maradi,50
1995,44,Niamey,0
1995,44,Tahoua,58
1995,44,Tillaberi,71
1995,44,Zinder,3
1995,45,Agadez,85
1995,45,Diffa,5
1995,45,Dosso,53
1995,45,Maradi,9
1995,45,Niamey,0
1995,45,Tahoua,87
1995,45,Tillaberi,27
1995,45,Zinder,5
1995,46,Agadez,159
1995,46,Diffa,6
1995,46,Dosso,38
1995,46,Maradi,80
